area_id,city_id,grade,fill,label,name,category_i,sheets,area,bounds,label_coor,residentia,commercial,industrial,Shape_Leng,Shape_Area,temp2021_mean,temp2017_mean,temp2013_mean,tree2021_mean,imperv2021_mean,averagetemp_mean,building_area,building_density
6040,128,A,#76a865,A16,Dunthorp,1,1,0.000286605,"[[45.42333,-122.67449],[45.43726,-122.65133]]","[45.43,-122.663]",-1,0,0,0.070035195,0.000286579,29.35152172,30.80185407,29.61557959,59.09555742,13.08717519,29.92298512,163625.9708,6.565030798
6041,128,A,#76a865,A14,Palatine Hills,1,1,0.0001567,"[[45.43726,-122.67485],[45.45372,-122.65976]]","[45.444,-122.667]",-1,0,0,0.06568801,0.000156707,30.10220436,30.79321407,29.92180886,56.24111283,19.35085008,30.2724091,117005.1418,8.58714715
6042,128,A,#76a865,A15,Riverview and Abernathy Heights,1,1,0.000138494,"[[45.43606,-122.66237],[45.44953,-122.64683]]","[45.443,-122.657]",-1,0,0,0.051408143,0.000138509,30.68363567,30.75402552,29.94630467,48.22996516,15.61149826,30.46132195,75827.04098,6.295912294
6043,128,B,#7cb5bd,B29,Palatine Hills,2,1,4.51E-05,"[[45.44879,-122.66683],[45.45372,-122.65553]]","[45.451,-122.662]",-1,0,0,0.030061152,4.51E-05,29.62031101,30.12489622,28.48908881,51.72486772,11.29100529,29.41143201,19036.38643,4.853331322
6044,128,B,#7cb5bd,B15,Garthwick,2,1,5.53E-05,"[[45.4462,-122.65293],[45.45855,-122.64283]]","[45.45,-122.647]",-1,0,0,0.043258771,5.52E-05,35.26930115,35.0841584,34.21408242,40.21777778,33.00440529,34.85584732,52423.79075,10.91500318
6045,128,C,#ffff00,C19,Sellwod,3,1,0.000221766,"[[45.45835,-122.66177],[45.47021,-122.63815]]","[45.464,-122.654]",-1,0,0,0.069068498,0.000221818,39.31950148,39.62074736,38.71418328,24.94662309,61.98257081,39.21814404,398770.1078,20.68239584
6046,128,B,#7cb5bd,B14,Westmoreland,2,1,0.00010642,"[[45.46779,-122.65936],[45.48339,-122.64127]]","[45.473,-122.645]",-1,0,0,0.066879331,0.000106378,39.02456579,40.46127353,39.307312,29.88814318,58.12080537,39.59771711,196143.6061,21.2165528
6047,128,C,#ffff00,C18,Westmoreland District,3,1,7.30E-05,"[[45.47352,-122.65727],[45.48449,-122.6418]]","[45.479,-122.651]",-1,0,0,0.050509141,7.30E-05,34.9678033,37.72059116,36.99369224,30.90429043,49.49174917,36.56069557,102518.7429,16.1691241
6048,128,C,#ffff00,C17,,3,1,9.69E-05,"[[45.4844,-122.66017],[45.50079,-122.6462]]","[45.495,-122.653]",-1,0,0,0.051932686,9.69E-05,38.62307051,40.85222991,40.37216087,24.41990291,67.12864078,39.94915376,176904.4192,21.01224845
6049,128,A,#76a865,A13,Eastmoreland,1,1,0.000116058,"[[45.4649,-122.63707],[45.47937,-122.62614]]","[45.472,-122.631]",-1,0,0,0.045364621,0.000116045,32.71669126,34.46932171,33.28155976,43.69008264,33.65082645,33.48919091,172368.0238,17.0912237
