area_id,city_id,grade,fill,label,name,category_i,area,Shape_Leng,Shape_Area,temp2021_mean,temp2017_mean,temp2013_mean,tree2021_mean,averagetemp_mean,tree2013_mean,imperv2021_mean,imperv2013_mean,pop_density_2021,pop_density_2013,house_density_2021,house_density_2013,building_density_2021,white_percent_2021,white_percent_2013,black_percent_2021,black_percent_2013,nonwhite_percent_2021,nonwhite_percent_2013,hispanic_percent_2021,hispanic_percent_2013,holc_area,building_area_2021
6040,128,A,#76a865,A16,Dunthorp,1,0.000286605,0.070035195,0.000286579,29.35152172,30.80185407,29.61557959,59.09555742,29.92298512,61.36881811,13.08717519,13.12070411,282.46,635.13,1299,279.65,6.565030798,76.73,90.84,0.18,0.19,23.27,9.16,7.38,3.6,2492386.949,163625.9708
6041,128,A,#76a865,A14,Palatine Hills,1,0.0001567,0.06568801,0.000156707,30.10220436,30.79321407,29.92180886,56.24111283,30.2724091,57.98145286,19.35085008,19.11591963,165.86,486.59,609,148.25,8.58714715,76.32,85.67,1.38,0,23.81,14.33,15.04,4.07,1362561.276,117005.1418
6042,128,A,#76a865,A15,Riverview and Abernathy Heights,1,0.000138494,0.051408143,0.000138509,30.68363567,30.75402552,29.94630467,48.22996516,30.46132195,49.73867596,15.61149826,15.56445993,167.72,508.15,557,164.4,6.295912294,77.9,85.62,2.1,0,22.1,14.38,11.75,4.58,1204385.281,75827.04098
6043,128,B,#7cb5bd,B29,Palatine Hills,2,4.51E-05,0.030061152,4.51E-05,29.62031101,30.12489622,28.48908881,51.72486772,29.41143201,53.31216931,11.29100529,11.32804233,170.82,535.4,191,181.02,4.853331322,80.25,84.76,3.36,0,19.75,14.76,6.72,5.71,392233.3994,19036.38643
6044,128,B,#7cb5bd,B15,Garthwick,2,5.53E-05,0.043258771,5.52E-05,35.26930115,35.0841584,34.21408242,40.21777778,34.85584732,43.00888889,33.00440529,32.62995595,279,624.62,168,306.07,10.91500318,81.55,85.67,0.97,3.33,17.96,14.33,4.85,2.67,480291.1176,52423.79075
6045,128,C,#ffff00,C19,Sellwod,3,0.000221766,0.069068498,0.000221818,39.31950148,39.62074736,38.71418328,24.94662309,39.21814404,25.45969499,61.98257081,62.37254902,1565.82,3007.69,5231,1428.38,20.68239584,86.04,87.29,0.94,0.81,13.96,12.71,7.71,5.85,1928065.351,398770.1078
6046,128,B,#7cb5bd,B14,Westmoreland,2,0.00010642,0.066879331,0.000106378,39.02456579,40.46127353,39.307312,29.88814318,39.59771711,30.27516779,58.12080537,58.33333333,1471.1,2962.75,2568,1371.58,21.2165528,90.11,82.37,0,0.4,9.86,17.63,6.56,10.19,924483.8591,196143.6061
6047,128,C,#ffff00,C18,Westmoreland District,3,7.30E-05,0.050509141,7.30E-05,34.9678033,37.72059116,36.99369224,30.90429043,36.56069557,33.06270627,49.49174917,49.669967,581.98,968.4,592,507.86,16.1691241,86.17,82.08,0,0.49,13.83,17.92,10.92,12.38,634040.1759,102518.7429
6048,128,C,#ffff00,C17,,3,9.69E-05,0.051932686,9.69E-05,38.62307051,40.85222991,40.37216087,24.41990291,39.94915376,25.64563107,67.12864078,67.64320388,1396.83,2867.3,2058,1440.78,21.01224845,76.11,85.87,1.92,1.86,23.89,14.13,4.25,5.51,841910.9435,176904.4192
6049,128,A,#76a865,A13,Eastmoreland,1,0.000116058,0.045364621,0.000116045,32.71669126,34.46932171,33.28155976,43.69008264,33.48919091,46.32024793,33.65082645,34.39256198,971.73,2101.11,2395,880.5,17.0912237,92.29,92.21,0.08,0.05,7.71,7.79,3.35,2.93,1008517.744,172368.0238
6050,128,B,#7cb5bd,B16,Berkeley,2,6.44E-05,0.04247599,6.43E-05,36.54462138,39.23682483,36.997566,38.26785714,37.59300407,40.16785714,45.125,45.64285714,919.74,2510.5,1325,898.27,18.4180554,88.57,90.09,0.2,0.07,11.43,9.91,8.56,2.35,558855.3873,102930.2949
6051,128,C,#ffff00,C24,Woodstock,3,7.38E-05,0.059668193,7.38E-05,36.55162832,40.72844876,39.2826263,26.19808307,38.85423446,27.13099042,55.45686901,55.31948882,1019.06,2687.88,1543,1106.32,19.07758159,86.98,83.42,0.06,0,13.02,16.58,3.21,2.72,641773.5694,122434.8763
6052,128,C,#ffff00,C20,,3,0.000174513,0.085748399,0.000174518,38.51921153,41.01094811,39.68902888,28.77868852,39.73972951,29.20491803,61.91939891,62.43715847,1954.22,3996.15,4955,1897.5,22.50429306,71.6,79.24,9.13,6.01,28.4,20.76,8.32,5.58,1516212.918,341212.9985
6053,128,C,#ffff00,C23,Woodstock,3,0.000116077,0.071252239,0.000116048,37.05273447,40.33147015,38.78082841,25.38854806,38.72167768,25.39059305,59.46830266,59.88343558,1403.38,2880.15,2854,1310.15,20.66345934,87.33,78.82,0.8,1.27,12.67,21.18,6.36,6.16,1008282.689,208346.0834
6054,128,C,#ffff00,C29,Mt. Scott,3,0.000282518,0.154770122,0.000282476,40.1424862,42.45705541,41.00978978,19.98025751,41.20311046,21.1639485,59.82317597,59.84806867,1555.16,3406.93,6890,1474.08,21.50774597,78.56,76.05,3.12,3.77,21.44,23.95,9.1,5.54,2454404.889,527887.1686
